,ticker,figi,type,name,country_of_rick
333,3690,BBG00LLV9WW6,shares,Meituan,CN
334,ARNC,BBG00R45JYB7,shares,Arconic,US
335,MKTX,BBG000BJBZ23,shares,MarketAxess Holdings Inc,US
336,SILK,BBG0026ZJRY4,shares,Silk Road Medical,US
337,ENTA,BBG001V9NSB4,shares,Enanta Pharmaceuticals Inc,US
338,INMD,BBG00PPS73P4,shares,Inmode Ltd,IL
339,HBAN,BBG000BKWSR6,shares,Huntington Bancshares,US
340,POOL,BBG000BCVG28,shares,Pool Corp,US
341,QUOT,BBG001QYNR63,shares,Quotient Technology Inc,US
342,BECN,BBG000BKTXF2,shares,Beacon Roofing Supply Inc,US
343,FL,BBG000BX8DC4,shares,Foot Locker,US
344,1385,BBG000C1FPY4,shares,Shanghai Fudan Microelectronics,CN
345,J,BBG019C1BQR4,shares,Jacobs Solutions,US
346,BANEP,BBG004S686N0,shares,Башнефть - привилегированные акции,RU
347,BRX,BBG001LFLZZ1,shares,Brixmor Property Group REIT,US
348,APD,BBG000BC4JJ4,shares,Air Products & Chemicals,US
349,NDSN,BBG000BPWGR1,shares,Nordson Corp,US
350,RARE,BBG001RWPDW6,shares,Ultragenyx Pharmaceutical Inc,US
351,CI,BBG00KXRCDP0,shares,Cigna,US
352,OKEY,BBG00172J7S9,shares,O'Key Group SA,RU
353,ALRS,BBG004S68B31,shares,АЛРОСА,RU
354,1658,BBG00DSLKXX3,shares,Postal Savings Bank of China,CN
355,ANDE,BBG000BF8CN3,shares,Andersons Inc,US
356,UDMY,BBG0025DTRN5,shares,Udemy,US
357,SNX,BBG000CL9JV4,shares,SYNNEX Corp,US
358,UFPI,BBG000BL0T06,shares,"UFP Industries, Inc",US
359,ALK,BBG000BBL0Y1,shares,Alaska Air Group,US
360,MAS,BBG000BNNKG9,shares,Masco,US
361,ELMT,TCS00A102093,shares,Элемент,RU
362,GRMN,BBG000C4LN67,shares,Garmin,US
363,MGY,BBG00GNC8DL2,shares,Magnolia Oil & Gas Corp,US
364,PSEC,BBG000Q3RGN4,shares,Prospect Capital Corporation,US
365,SRCL,BBG000H3FZM6,shares,Stericycle,US
366,BDX,BBG000BCZYD3,shares,"Becton, Dickinson and Company",US
367,SONO,BBG001JZPSQ2,shares,SONOS INC,US
368,CNNE,BBG00GXRNJP4,shares,Cannae Holdings,US
369,MLCO,BBG000BHP8J4,shares,Melco Resorts & Entertainment,HK
370,PCOR,BBG0026ZJ304,shares,Procore Technologies,US
371,MRKP,BBG000VG1034,shares,Россети Центр и Приволжье,RU
372,INTC,BBG000C0G1D1,shares,Intel Corporation,US
373,COKE,BBG000BG1SX2,shares,Coca-Cola Consolidated Inc,US
374,DOCS,BBG0026ZJQX7,shares,"Doximity, Inc.",US
375,FR,BBG000CKGDS5,shares,First Industrial REIT,US
376,AIG,BBG000BBDZG3,shares,American International Group,US
377,CVCO,BBG000K4WS65,shares,Cavco Industries Inc,US
378,TRV,BBG000BJ81C1,shares,Travelers Cos,US
379,SAH,BBG000BBMNG0,shares,Sonic Automotive,US
380,FLOT,BBG000R04X57,shares,Совкомфлот,RU
381,BROS,BBG01282ZHB3,shares,Dutch Bros,US
382,MRNA,BBG003PHHZT1,shares,Moderna Inc,US
383,SHEN,BBG000BTC2N0,shares,Shenandoah Telecommunications,US
384,ENS,BBG000PWTD92,shares,EnerSys,US
385,TRI,BBG000BBS9F6,shares,Thomson Reuters Corporation,CA
386,XPO,BBG000L5CJF3,shares,"XPO, Inc.",US
387,LDOS,BBG000C23PB0,shares,Leidos Holdings,US
388,AAPL,BBG000B9XRY4,shares,Apple,US
389,WM,BBG000BWVSR1,shares,Waste Management,US
390,267,BBG000BF0V40,shares,CITIC,HK
391,BKNG,BBG000BLBVN4,shares,Booking,US
392,PRTA,BBG003PDKJF7,shares,Prothena Corporation,IE
393,STAG,BBG000BGLFP7,shares,STAG Industrial REIT,US
394,ETSY,BBG000N7MXL8,shares,Etsy Inc,US
395,DLO,BBG00XGCHFV7,shares,DLocal,UY
396,DIAS,TCS00A107ER5,shares,Диасофт,RU
397,HE,BBG000BL0P40,shares,"Hawaiian Electric Industries, Inc.",US
398,YY,BBG003H0XV18,shares,JOYY Inc,CN
399,TATN,BBG004RVFFC0,shares,Татнефть,RU
400,NKE,BBG000C5HS04,shares,NIKE,US
401,DLX,BBG000BH6360,shares,Deluxe Corp,US
402,FTDR,BBG00H9MNDZ2,shares,"Frontdoor, Inc.",US
403,KHC,BBG005CPNTQ2,shares,Kraft Heinz,US
404,MMSI,BBG000C42VX0,shares,MerIt Medical Systems Inc,US
405,AG,BBG000CH7WB8,shares,First Majestic Silver Corp,CA
406,BL,BBG0029KJVB0,shares,Blackline Inc,US
407,RHI,BBG000BS5DR2,shares,Robert Half,US
408,INGN,BBG0021PH456,shares,Inogen Inc,US
409,9696,BBG018KZQ6K7,shares,Tianqi Lithium Corporation,CN
410,SAVE,BBG000BF6RQ9,shares,Spirit Airlines Inc,US
411,12,BBG000BDWF36,shares,Henderson Land,CN
412,SIGA,BBG000BKXWV1,shares,SIGA Technologies,US
